rank,domain
18742,desired.de
18748,reservix.de
18771,skyscanner.de
18809,freundin.de
18826,hessenschau.de
18881,mein-mmo.de
18912,ptb.de
18945,sky.de
18969,geo.de
19047,newyorker.de
19307,datev.de
19407,bmw.de
19414,uni-mannheim.de
19632,uni-halle.de
19641,mz.de
19658,ffe390afd658c19dcbf707e0597b846d.de
19662,poppen.de
19684,gamepro.de
19693,eventbrite.de
19761,juraforum.de
19801,tu-dortmund.de
20091,flashscore.de
20112,uni-konstanz.de
20164,hosting.de
20180,uni-potsdam.de
20258,uni-due.de
20332,nativendo.de
20436,bmbf.de
20531,knipp.de
20592,hse.de
20633,futurezone.de
20746,brandenburg.de
20748,blocklist.de
20776,einfachbacken.de
20817,kicktipp.de
20855,de-nserver.de
20859,openstreetmap.de
20895,ozerov.de
21001,g-ha-1und1.de
21034,ernstings-family.de
21126,auerproxy.de
21167,ui-portal.de
21168,dw-world.de
21323,uni-paderborn.de
21419,bet365.de
21424,belwue.de
21433,egun.de
21493,avm.de
21535,emmikochteinfach.de
21542,spring-media.de
21563,audible.de
21799,rnd.de
21885,uni-bayreuth.de
22132,nabu.de
22136,thueringer-allgemeine.de
22147,plusline.de
22348,charite.de
22372,kas.de
22449,verbraucherzentrale.de
22669,bmwi.de
22687,badische-zeitung.de
22704,ludwigshafen24.de
22767,haufe.de
22948,audi.de
22949,autodoc.de
22975,ksta.de
23037,server-he.de
23062,corpinter.de
23295,swp.de
23313,pcgameshardware.de
23622,artfiles.de
23646,tchncs.de
23843,douglas.de
23948,versatel.de
24038,bremen.de
24049,mini.de
24078,agma-analytics.de
24129,gold.de
24352,computerbase.de
24393,jameda.de
24479,verivox.de
24483,3sat.de
24492,cornelsen.de
24520,bundesbank.de
24698,rbb24.de
24797,uni-oldenburg.de
24816,ebay-kleinanzeigen.de
24876,adminforge.de
25040,tu-freiberg.de
25091,com.de
25141,komoot.de
25143,tk.de
25170,bafin.de
25186,cloudpit.de
25193,thelocal.de
25222,bundesnetzagentur.de
25454,uni-rostock.de
25459,first-ns.de
25527,prosieben.de
25575,mercedes-benz.de
25577,in-berlin.de
25607,deutschland.de
25638,apotheken-umschau.de
25658,finanznachrichten.de
25685,uni-kassel.de
25802,vodafonemail.de
25896,stuttgarter-nachrichten.de
26071,pcwelt.de
26124,timmehosting.de
26144,uni-osnabrueck.de
26257,deutsche-rentenversicherung.de
26287,c-srv.de
26375,postbank.de
26378,openpetition.de
26379,meinestadt.de
26421,auto-motor-und-sport.de
26460,classistatic.de
26529,tu-bs.de
26556,boell.de
26578,brigitte.de
26616,winfuture.de
26704,buecher.de
26713,bike-discount.de
26730,ha-cdn.de
27028,derstandard.de
27035,nordbayern.de
27036,familienkost.de
27049,visitberlin.de
27167,vogue.de
27189,gaumenfreundin.de
27246,lexware.de
27257,fz-juelich.de
27378,darts1.de
27585,barmer.de
27595,dnb.de
27648,suedkurier.de
27747,entropia.de
27765,bmas.de
27889,greatnet.de
27995,oojj.de
28017,commerzbank.de
28032,monsterserver.de
28040,boreus.de
28171,start-dns.de
28190,dfb.de
28218,airbnb.de
28277,manage-now.de
28386,prodns.de
28391,sachsen-anhalt.de
28411,onvista.de
28483,bundesumweltministerium.de
28526,manomano.de
28622,watson.de
28943,onlinemobilecasinos.de
29100,rbb-online.de
29111,hetzner.de
29119,express.de
29267,uraniumhexafluori.de
29296,deutsche-bank.de
29333,123ns.de
29396,bmwk.de
29430,ip-projects.de
29460,beepworld.de
29597,jpc.de
29647,lto.de
29717,ecomdata.de
29813,tz.de
29816,domainkunden.de
29887,musicstore.de
29914,berlios.de
29922,virtualhosts.de
29958,redbutton.de
29964,snafu.de
30064,dasoertliche.de
30068,anwalt.de
30073,agenturserver.de
30086,wwf.de
30114,bosch.de
30228,beck.de
30358,trustedshops.de
30371,conwa-consulting.de
30439,saturn.de
30447,uni-wuppertal.de
30457,dfg.de
30475,ga.de
30492,sec-ns.de
30498,domainmarkt.de
30504,lrz.de
30694,etracker.de
30732,schulserver.de
30742,desy.de
30744,hhu.de
30834,motor-talk.de
30878,selfhost.de
30901,din.de
30992,uni-duesseldorf.de
31005,oekotest.de
31022,weser-kurier.de
31069,netclusive.de
31115,bmfsfj.de
31133,abload.de
31144,nwzonline.de
31145,springtools.de
31147,finanztip.de
31246,gq-magazin.de
31253,mtb-news.de
31292,nuernberg.de
31328,autozeitung.de
31461,sparkasse.de
31525,innogames.de
31560,awi.de
31582,thieme-connect.de
31728,rossmann.de
31754,dsgvo-gesetz.de
31757,webwiki.de
31763,bundeswehr.de
31843,haz.de
31850,travelbook.de
31954,tng.de
31975,testberichte.de
32007,ing.de
32173,bafa.de
32244,schleswig-holstein.de
32367,bergfreunde.de
32395,westermann.de
32536,notebooksbilliger.de
